Beneficiary_Geographic_Level,Beneficiary_Geographic_Description,Beneficiary_Geographic_Code,Beneficiary_Age_Level,Beneficiary_Demographic_Level,Beneficiary_Demographic_Description,Beneficiary_Multiple_Chronic_Condition_Group,Prevalence,Total_Medicare_Standardized_Per_Capita_Spending,Total_Medicare_Per_Capita_Spending,Hospital_Readmission_Rate,"Emergency_Room_Visits_per_1,000_Beneficiaries"
State,Iowa,19,All,Dual Status,Medicare Only,4 to 5,0.2073,10568.0539,10709.5074,0.0938,695.5344
State,Iowa,19,All,Dual Status,Medicare Only,6+,0.1229,25943.8616,26665.8171,0.1915,1714.3734
State,Iowa,19,All,Dual Status,Medicare and Medicaid,0 to 1,0.2921,2692.6124,2700.6576,0.0603,475.8316
State,Iowa,19,All,Dual Status,Medicare and Medicaid,2 to 3,0.2672,6789.2487,6859.3717,0.1122,918.6437
State,Iowa,19,All,Dual Status,Medicare and Medicaid,4 to 5,0.2194,11923.7695,12125.6717,0.1429,1345.6726
State,Iowa,19,All,Dual Status,Medicare and Medicaid,6+,0.2213,28723.865,29566.3867,0.2434,2806.1067
State,Iowa,19,65+,Sex,Female,0 to 1,0.3227,2229.8413,2183.3543,0.042,145.653
State,Iowa,19,65+,Sex,Female,2 to 3,0.3259,5547.5682,5531.9794,0.0531,367.2599
State,Iowa,19,65+,Sex,Female,4 to 5,0.2136,10348.8019,10466.0629,0.0892,723.261
State,Iowa,19,65+,Sex,Female,6+,0.1378,25076.1749,25728.6171,0.1874,1801.6022
State,Iowa,19,<65,Sex,Female,0 to 1,0.3712,3235.0839,3083.2307,0.0509,594.4272
State,Iowa,19,<65,Sex,Female,2 to 3,0.3006,7676.0229,7529.4021,0.1103,1131.6618
State,Iowa,19,<65,Sex,Female,4 to 5,0.1869,12953.0863,12982.8325,0.1542,1792.9476
State,Iowa,19,<65,Sex,Female,6+,0.1413,30164.4822,30835.6122,0.2731,3564.1148
State,Iowa,19,All,Sex,Female,0 to 1,0.3283,2360.7117,2300.5073,0.0444,204.078
State,Iowa,19,All,Sex,Female,2 to 3,0.323,5775.6325,5746.0036,0.0631,449.1657
State,Iowa,19,All,Sex,Female,4 to 5,0.2105,10615.0463,10723.3604,0.0985,832.6185
State,Iowa,19,All,Sex,Female,6+,0.1382,25675.1196,26329.7615,0.2002,2009.0676
State,Iowa,19,65+,Sex,Male,0 to 1,0.345,1827.915,1801.1228,0.0322,136.5332
State,Iowa,19,65+,Sex,Male,2 to 3,0.295,5475.7054,5491.6394,0.0647,351.4106
State,Iowa,19,65+,Sex,Male,4 to 5,0.2148,10753.6342,10966.6169,0.0961,678.8006
State,Iowa,19,65+,Sex,Male,6+,0.1452,27174.1135,28027.1174,0.1978,1758.7647
State,Iowa,19,<65,Sex,Male,0 to 1,0.449,2249.5694,2229.5985,0.0842,367.8169
State,Iowa,19,<65,Sex,Male,2 to 3,0.2596,7260.2363,7229.734,0.1429,916.6061
State,Iowa,19,<65,Sex,Male,4 to 5,0.1703,13152.2483,13322.2739,0.1814,1523.9941
State,Iowa,19,<65,Sex,Male,6+,0.1211,32933.6361,33959.8126,0.3001,3661.3029
State,Iowa,19,All,Sex,Male,0 to 1,0.361,1908.6658,1883.1801,0.0487,180.8263
State,Iowa,19,All,Sex,Male,2 to 3,0.2896,5722.1047,5731.627,0.0825,429.45
State,Iowa,19,All,Sex,Male,4 to 5,0.2079,11056.0635,11263.63,0.111,785.3669
State,Iowa,19,All,Sex,Male,6+,0.1415,27933.0806,28808.9046,0.2159,2009.4736
State,Kansas,20,65+,All,All,0 to 1,0.3207,2029.2233,1931.4564,0.042,132.4337
State,Kansas,20,65+,All,All,2 to 3,0.3047,5724.4786,5525.2419,0.0611,344.2313
State,Kansas,20,65+,All,All,4 to 5,0.2169,11470.2973,11143.3371,0.0935,677.2059
State,Kansas,20,65+,All,All,6+,0.1576,29945.7426,29175.6283,0.1992,1704.0308
State,Kansas,20,65+,Dual Status,Medicare Only,0 to 1,0.335,2012.5084,1916.1055,0.0407,128.3573
State,Kansas,20,65+,Dual Status,Medicare Only,2 to 3,0.3115,5634.0313,5441.1869,0.0609,331.5877
State,Kansas,20,65+,Dual Status,Medicare Only,4 to 5,0.2135,11300.7303,10982.0321,0.0911,653.2544
State,Kansas,20,65+,Dual Status,Medicare Only,6+,0.1401,29620.9264,28889.2523,0.1974,1637.4935
State,Kansas,20,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2281,7134.1088,6835.2472,0.0641,541.2844
State,Kansas,20,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2568,13079.1224,12673.7746,0.1135,904.4541
State,Kansas,20,65+,Dual Status,Medicare and Medicaid,6+,0.3571,31400.4428,30458.1727,0.2069,2002.0204
State,Kansas,20,<65,All,All,0 to 1,0.4049,2624.4762,2452.0591,0.0757,459.7364
State,Kansas,20,<65,All,All,2 to 3,0.2738,7948.3443,7595.9974,0.1276,1054.4513
State,Kansas,20,<65,All,All,4 to 5,0.1794,14695.467,14112.2618,0.1668,1683.0353
State,Kansas,20,<65,All,All,6+,0.1419,34894.6068,33970.9352,0.2675,3491.5021
State,Kansas,20,<65,Dual Status,Medicare Only,0 to 1,0.4354,2480.9401,2240.1179,0.0661,308.7978
State,Kansas,20,<65,Dual Status,Medicare Only,2 to 3,0.2722,8170.1582,7553.6605,0.1002,785.3939
State,Kansas,20,<65,Dual Status,Medicare Only,4 to 5,0.1765,14317.5036,13301.8405,0.1368,1129.9459
State,Kansas,20,<65,Dual Status,Medicare Only,6+,0.1159,34242.9177,32655.9906,0.2371,2556.7621
State,Kansas,20,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3784,2767.8491,2663.7591,0.0814,610.5033
State,Kansas,20,<65,Dual Status,Medicare and Medicaid,2 to 3,0.2752,7757.9435,7632.3386,0.1482,1285.4049
State,Kansas,20,<65,Dual Status,Medicare and Medicaid,4 to 5,0.182,15013.5312,14794.2484,0.1891,2148.4716
State,Kansas,20,<65,Dual Status,Medicare and Medicaid,6+,0.1644,35293.6563,34776.1169,0.2842,4063.8727
State,Kansas,20,All,All,All,0 to 1,0.3326,2131.2949,2020.7272,0.052,188.5583
State,Kansas,20,All,All,All,2 to 3,0.3004,6010.0044,5791.1095,0.0742,435.4176
State,Kansas,20,All,All,All,4 to 5,0.2117,11855.3939,11497.8372,0.1056,797.3054
State,Kansas,20,All,All,All,6+,0.1554,30582.0638,29792.2052,0.2103,1933.8625
State,Kansas,20,All,Dual Status,Medicare Only,0 to 1,0.3426,2058.0529,1947.6084,0.0444,145.9011
State,Kansas,20,All,Dual Status,Medicare Only,2 to 3,0.3085,5805.2618,5583.8138,0.0649,362.2271
State,Kansas,20,All,Dual Status,Medicare Only,4 to 5,0.2106,11494.1132,11130.7378,0.095,683.8115
State,Kansas,20,All,Dual Status,Medicare Only,6+,0.1383,29917.4356,29130.8954,0.2005,1696.4663
State,Kansas,20,All,Dual Status,Medicare and Medicaid,0 to 1,0.2729,2675.2179,2563.7354,0.0776,505.3464
State,Kansas,20,All,Dual Status,Medicare and Medicaid,2 to 3,0.2527,7488.4237,7287.9655,0.1204,963.9172
State,Kansas,20,All,Dual Status,Medicare and Medicaid,4 to 5,0.2178,13922.0234,13597.7518,0.1524,1446.5234
State,Kansas,20,All,Dual Status,Medicare and Medicaid,6+,0.2566,32700.5383,31900.1022,0.2374,2690.5531
State,Kansas,20,65+,Sex,Female,0 to 1,0.3132,2195.0376,2089.352,0.0463,137.8021
State,Kansas,20,65+,Sex,Female,2 to 3,0.3163,5765.7838,5552.7124,0.0586,357.2845
State,Kansas,20,65+,Sex,Female,4 to 5,0.2143,11514.6422,11162.644,0.0903,716.2522
State,Kansas,20,65+,Sex,Female,6+,0.1563,29131.9206,28361.365,0.195,1758.8975
State,Kansas,20,<65,Sex,Female,0 to 1,0.3617,3144.8682,2882.2459,0.0761,554.6424
State,Kansas,20,<65,Sex,Female,2 to 3,0.2931,8319.5107,7885.9342,0.1295,1182.9047
State,Kansas,20,<65,Sex,Female,4 to 5,0.1922,14304.8376,13699.4401,0.1745,1891.2203
State,Kansas,20,<65,Sex,Female,6+,0.153,33338.2029,32396.241,0.2588,3683.4682
State,Kansas,20,All,Sex,Female,0 to 1,0.3194,2332.468,2204.0753,0.0547,198.1144
State,Kansas,20,All,Sex,Female,2 to 3,0.3133,6071.0326,5831.604,0.0713,455.9715
State,Kansas,20,All,Sex,Female,4 to 5,0.2115,11838.77,11457.3352,0.1039,852.7443
State,Kansas,20,All,Sex,Female,6+,0.1559,29659.6276,28867.5679,0.2048,2000.3481
State,Kansas,20,65+,Sex,Male,0 to 1,0.3303,1828.5402,1740.3571,0.0363,125.9365
State,Kansas,20,65+,Sex,Male,2 to 3,0.29,5666.9908,5487.0088,0.0647,326.0641
State,Kansas,20,65+,Sex,Male,4 to 5,0.2204,11415.2608,11119.3754,0.0975,628.7456
State,Kansas,20,65+,Sex,Male,6+,0.1593,30964.5492,30194.9874,0.2045,1635.3444
State,Kansas,20,<65,Sex,Male,0 to 1,0.4483,2202.8746,2103.5381,0.0753,382.8472
State,Kansas,20,<65,Sex,Male,2 to 3,0.2545,7519.0826,7260.6796,0.1255,905.8922
State,Kansas,20,<65,Sex,Male,4 to 5,0.1666,15148.1739,14590.6875,0.1575,1441.7662
State,Kansas,20,<65,Sex,Male,6+,0.1307,36725.2966,35823.1388,0.2769,3265.7057
State,Kansas,20,All,Sex,Male,0 to 1,0.3488,1904.0559,1813.6228,0.0487,177.7639
State,Kansas,20,All,Sex,Male,2 to 3,0.2845,5927.0826,5736.0879,0.0781,407.4902
State,Kansas,20,All,Sex,Male,4 to 5,0.2119,11875.8572,11547.6933,0.1078,729.0625
State,Kansas,20,All,Sex,Male,6+,0.1548,31727.5992,30940.4741,0.217,1851.2968
State,Kentucky,21,65+,All,All,0 to 1,0.2565,1643.432,1540.6001,0.0474,128.0242
State,Kentucky,21,65+,All,All,2 to 3,0.2902,4770.116,4551.4317,0.0618,334.1205
State,Kentucky,21,65+,All,All,4 to 5,0.2426,9386.5255,9068.3453,0.0937,656.9633
State,Kentucky,21,65+,All,All,6+,0.2107,27533.7364,26994.8519,0.2229,1870.2208
State,Kentucky,21,65+,Dual Status,Medicare Only,0 to 1,0.2772,1652.1483,1547.9886,0.0451,121.3422
State,Kentucky,21,65+,Dual Status,Medicare Only,2 to 3,0.305,4730.2001,4514.0313,0.0596,309.9377
State,Kentucky,21,65+,Dual Status,Medicare Only,4 to 5,0.2397,9287.2146,8979.7542,0.091,608.8815
State,Kentucky,21,65+,Dual Status,Medicare Only,6+,0.1781,26408.7434,25960.4932,0.2146,1704.8269
State,Kentucky,21,65+,Dual Status,Medicare and Medicaid,0 to 1,0.1481,1558.075,1468.2463,0.0642,193.4602
State,Kentucky,21,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2125,5069.818,4832.2468,0.0768,515.6927
State,Kentucky,21,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2581,9868.9326,9498.6803,0.1056,890.5228
State,Kentucky,21,65+,Dual Status,Medicare and Medicaid,6+,0.3814,30281.7485,29521.472,0.2406,2274.2272
State,Kentucky,21,<65,All,All,0 to 1,0.3483,2043.5372,1896.6873,0.0752,405.4578
State,Kentucky,21,<65,All,All,2 to 3,0.276,5919.5396,5618.8607,0.0953,840.8013
State,Kentucky,21,<65,All,All,4 to 5,0.2078,10710.487,10409.1399,0.1455,1264.0465
State,Kentucky,21,<65,All,All,6+,0.1678,29527.4955,29495.8553,0.2764,3045.8948
State,Kentucky,21,<65,Dual Status,Medicare Only,0 to 1,0.3757,1828.0771,1595.5967,0.0668,279.4014
State,Kentucky,21,<65,Dual Status,Medicare Only,2 to 3,0.2834,5670.7408,5166.1864,0.0909,594.3572
State,Kentucky,21,<65,Dual Status,Medicare Only,4 to 5,0.2041,10198.8845,9615.9604,0.1248,931.9008
State,Kentucky,21,<65,Dual Status,Medicare Only,6+,0.1368,27011.9579,26455.5873,0.2576,2348.7532
State,Kentucky,21,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3272,2234.9117,2164.1199,0.0797,517.4228
State,Kentucky,21,<65,Dual Status,Medicare and Medicaid,2 to 3,0.2703,6121.316,5985.9805,0.0982,1040.6681
State,Kentucky,21,<65,Dual Status,Medicare and Medicaid,4 to 5,0.2107,11093.7322,11003.3166,0.1592,1512.8593
State,Kentucky,21,<65,Dual Status,Medicare and Medicaid,6+,0.1917,30916.3533,31174.423,0.2857,3430.7948
State,Kentucky,21,All,All,All,0 to 1,0.2783,1762.361,1646.445,0.06,210.4898
State,Kentucky,21,All,All,All,2 to 3,0.2868,5032.7956,4795.373,0.0721,449.9131
State,Kentucky,21,All,All,All,4 to 5,0.2344,9665.3416,9350.7063,0.1068,784.8103
State,Kentucky,21,All,All,All,6+,0.2005,27929.901,27491.8071,0.2348,2103.83
State,Kentucky,21,All,Dual Status,Medicare Only,0 to 1,0.2909,1683.7883,1556.5507,0.0505,149.7684
State,Kentucky,21,All,Dual Status,Medicare Only,2 to 3,0.302,4853.1106,4599.2554,0.065,347.1059
State,Kentucky,21,All,Dual Status,Medicare Only,4 to 5,0.2347,9397.6095,9056.793,0.0958,647.9962
State,Kentucky,21,All,Dual Status,Medicare Only,6+,0.1724,26475.4431,26015.2377,0.2199,1776.0283
State,Kentucky,21,All,Dual Status,Medicare and Medicaid,0 to 1,0.2416,2036.8696,1960.5076,0.0769,422.6315
State,Kentucky,21,All,Dual Status,Medicare and Medicaid,2 to 3,0.2427,5681.6763,5503.5953,0.0912,821.1717
State,Kentucky,21,All,Dual Status,Medicare and Medicaid,4 to 5,0.2333,10446.8497,10208.6373,0.1342,1184.17
State,Kentucky,21,All,Dual Status,Medicare and Medicaid,6+,0.2823,30506.9381,30108.0219,0.2576,2684.6354
State,Kentucky,21,65+,Sex,Female,0 to 1,0.2348,1869.3672,1749.6749,0.0524,134.9196
State,Kentucky,21,65+,Sex,Female,2 to 3,0.3022,4850.0699,4625.342,0.0564,345.4805
State,Kentucky,21,65+,Sex,Female,4 to 5,0.244,9387.9942,9045.9063,0.0898,698.6074
State,Kentucky,21,65+,Sex,Female,6+,0.219,26986.8567,26379.2893,0.214,1932.8886
State,Kentucky,21,<65,Sex,Female,0 to 1,0.3054,2616.07,2391.7047,0.0726,467.794
State,Kentucky,21,<65,Sex,Female,2 to 3,0.2898,6119.4467,5750.9229,0.0901,921.7476
State,Kentucky,21,<65,Sex,Female,4 to 5,0.2213,11056.1625,10718.7413,0.1493,1366.8693
State,Kentucky,21,<65,Sex,Female,6+,0.1835,28611.534,28446.7845,0.2724,3127.5271
State,Kentucky,21,All,Sex,Female,0 to 1,0.2492,2055.7397,1909.9216,0.0611,218.003
State,Kentucky,21,All,Sex,Female,2 to 3,0.2997,5100.0305,4846.987,0.0656,458.9568
State,Kentucky,21,All,Sex,Female,4 to 5,0.2394,9702.1236,9360.9145,0.1037,824.4465
State,Kentucky,21,All,Sex,Female,6+,0.2117,27273.5314,26744.0993,0.2253,2143.6828
State,Kentucky,21,65+,Sex,Male,0 to 1,0.284,1406.1275,1321.0044,0.0412,120.7819
State,Kentucky,21,65+,Sex,Male,2 to 3,0.2749,4658.4343,4448.1919,0.0695,318.2524
State,Kentucky,21,65+,Sex,Male,4 to 5,0.2409,9384.6356,9097.219,0.0987,603.377
State,Kentucky,21,65+,Sex,Male,6+,0.2003,28293.3649,27849.8824,0.2354,1783.1738
State,Kentucky,21,<65,Sex,Male,0 to 1,0.3848,1657.3165,1562.7572,0.0778,363.407
State,Kentucky,21,<65,Sex,Male,2 to 3,0.2643,5733.2353,5495.7847,0.1004,765.3631
State,Kentucky,21,<65,Sex,Male,4 to 5,0.1964,10379.2381,10112.4595,0.1417,1165.5149
State,Kentucky,21,<65,Sex,Male,6+,0.1545,30452.1331,30554.8631,0.2803,2963.4892
State,Kentucky,21,All,Sex,Male,0 to 1,0.3119,1491.8292,1403.4866,0.0587,203.5617
State,Kentucky,21,All,Sex,Male,2 to 3,0.2719,4947.2799,4729.7255,0.0802,438.4105
State,Kentucky,21,All,Sex,Male,4 to 5,0.2286,9620.8817,9338.3672,0.1107,736.9005
State,Kentucky,21,All,Sex,Male,6+,0.1876,28784.8906,28465.7741,0.247,2051.9175
State,Louisiana,22,65+,All,All,0 to 1,0.2484,1818.0748,1686.7639,0.057,134.3842
State,Louisiana,22,65+,All,All,2 to 3,0.2876,5225.6136,4916.5851,0.0638,340.4882
State,Louisiana,22,65+,All,All,4 to 5,0.2499,10523.9665,9954.048,0.0898,658.4461
State,Louisiana,22,65+,All,All,6+,0.2142,31068.8764,29350.9441,0.2101,1853.8677
State,Louisiana,22,65+,Dual Status,Medicare Only,0 to 1,0.2723,1807.2432,1676.6119,0.059,117.5669
State,Louisiana,22,65+,Dual Status,Medicare Only,2 to 3,0.3057,5002.2654,4698.9131,0.0597,292.7043
State,Louisiana,22,65+,Dual Status,Medicare Only,4 to 5,0.248,10005.5549,9472.5337,0.0865,574.3194
State,Louisiana,22,65+,Dual Status,Medicare Only,6+,0.174,28136.5826,26747.8073,0.1991,1588.7114
State,Louisiana,22,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2145,6508.8789,6167.2376,0.0829,615.0346
State,Louisiana,22,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2575,12536.7962,11823.617,0.101,985.0834
State,Louisiana,22,65+,Dual Status,Medicare and Medicaid,6+,0.3761,36540.0399,34207.9566,0.2268,2348.6044
State,Louisiana,22,<65,All,All,0 to 1,0.3694,2458.9919,2329.4215,0.0826,547.7353
State,Louisiana,22,<65,All,All,2 to 3,0.27,8461.8623,8069.6817,0.1503,1130.0813
State,Louisiana,22,<65,All,All,4 to 5,0.1965,15668.5055,14923.6994,0.1654,1632.2029
State,Louisiana,22,<65,All,All,6+,0.1641,38392.9431,37058.861,0.2719,3503.752
State,Louisiana,22,<65,Dual Status,Medicare Only,0 to 1,0.3985,2095.3751,1893.8071,0.0563,292.7625
State,Louisiana,22,<65,Dual Status,Medicare Only,2 to 3,0.2759,7041.2705,6349.0841,0.1058,683.0467
State,Louisiana,22,<65,Dual Status,Medicare Only,4 to 5,0.1969,12954.9193,12016.561,0.1323,1038.8809
State,Louisiana,22,<65,Dual Status,Medicare Only,6+,0.1287,32858.4035,31398.6936,0.2294,2360.3248
State,Louisiana,22,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3546,2667.5437,2579.2674,0.0902,693.9746
State,Louisiana,22,<65,Dual Status,Medicare and Medicaid,2 to 3,0.267,9211.0439,8977.0782,0.168,1365.8352
State,Louisiana,22,<65,Dual Status,Medicare and Medicaid,4 to 5,0.1962,17057.9924,16412.2943,0.1793,1936.0123
State,Louisiana,22,<65,Dual Status,Medicare and Medicaid,6+,0.1821,40389.2149,39100.4458,0.2845,3916.1786
State,Louisiana,22,All,All,All,0 to 1,0.2736,1998.759,1867.9388,0.0701,250.9142
State,Louisiana,22,All,All,All,2 to 3,0.2839,5868.4009,5542.8566,0.0923,497.318
State,Louisiana,22,All,All,All,4 to 5,0.2387,11408.0795,10808.1057,0.1081,825.7907
State,Louisiana,22,All,All,All,6+,0.2037,32300.817,30647.4501,0.2224,2131.3856
State,Louisiana,22,All,Dual Status,Medicare Only,0 to 1,0.2849,1847.6022,1707.0348,0.0584,142.1068
State,Louisiana,22,All,Dual Status,Medicare Only,2 to 3,0.3027,5188.4248,4849.5723,0.0664,328.3422
State,Louisiana,22,All,Dual Status,Medicare Only,4 to 5,0.2429,10245.0389,9679.1049,0.0915,612.0411
State,Louisiana,22,All,Dual Status,Medicare Only,6+,0.1695,28495.7736,27101.6023,0.2018,1647.4084
State,Louisiana,22,All,Dual Status,Medicare and Medicaid,0 to 1,0.2467,2415.0075,2311.0288,0.0836,550.5428
State,Louisiana,22,All,Dual Status,Medicare and Medicaid,2 to 3,0.2391,7920.9913,7635.6197,0.1392,1007.3922
State,Louisiana,22,All,Dual Status,Medicare and Medicaid,4 to 5,0.2289,14350.872,13664.7688,0.1398,1366.6323
State,Louisiana,22,All,Dual Status,Medicare and Medicaid,6+,0.2853,37689.7509,35669.2954,0.2457,2816.8235
State,Louisiana,22,65+,Sex,Female,0 to 1,0.2289,2062.369,1912.9355,0.0569,133.858
State,Louisiana,22,65+,Sex,Female,2 to 3,0.2975,5210.1938,4883.3838,0.0585,350.0231
State,Louisiana,22,65+,Sex,Female,4 to 5,0.2519,10416.7615,9800.771,0.0826,687.3814
State,Louisiana,22,65+,Sex,Female,6+,0.2217,30416.6999,28599.9268,0.2014,1896.5868
State,Louisiana,22,<65,Sex,Female,0 to 1,0.3184,2991.3128,2817.716,0.0713,664.9922
State,Louisiana,22,<65,Sex,Female,2 to 3,0.2816,8264.0111,7809.9441,0.159,1269.1258
State,Louisiana,22,<65,Sex,Female,4 to 5,0.2118,14866.75,14154.7205,0.1735,1734.4777
State,Louisiana,22,<65,Sex,Female,6+,0.1882,35833.5338,34562.9115,0.2623,3512.6422
State,Louisiana,22,All,Sex,Female,0 to 1,0.2446,2274.7402,2119.7825,0.0641,255.2836
State,Louisiana,22,All,Sex,Female,2 to 3,0.2947,5722.7429,5374.5743,0.0889,504.2842
State,Louisiana,22,All,Sex,Female,4 to 5,0.2449,11092.7704,10462.1904,0.1026,846.4484
State,Louisiana,22,All,Sex,Female,6+,0.2158,31246.023,29512.8661,0.2122,2144.0066
State,Louisiana,22,65+,Sex,Male,0 to 1,0.2741,1548.4723,1437.1616,0.0571,134.965
State,Louisiana,22,65+,Sex,Male,2 to 3,0.2745,5247.6934,4964.1267,0.0709,326.835
State,Louisiana,22,65+,Sex,Male,4 to 5,0.2472,10668.3303,10160.453,0.0989,619.4814
State,Louisiana,22,65+,Sex,Male,6+,0.2042,32004.7735,30428.6815,0.2221,1792.5642
State,Louisiana,22,<65,Sex,Male,0 to 1,0.4128,2109.926,2009.2255,0.0959,470.8449
State,Louisiana,22,<65,Sex,Male,2 to 3,0.2602,8643.8693,8308.6192,0.1416,1002.1717
State,Louisiana,22,<65,Sex,Male,4 to 5,0.1834,16455.4408,15678.4639,0.1576,1531.8186
State,Louisiana,22,<65,Sex,Male,6+,0.1436,41242.7797,39838.0366,0.2816,3493.853
State,Louisiana,22,All,Sex,Male,0 to 1,0.3086,1735.3197,1627.5401,0.0776,246.7433
State,Louisiana,22,All,Sex,Male,2 to 3,0.2709,6059.152,5763.2364,0.0964,488.1952
State,Louisiana,22,All,Sex,Male,4 to 5,0.2313,11809.9693,11249.006,0.1147,799.4606
State,Louisiana,22,All,Sex,Male,6+,0.1891,33750.3931,32206.6793,0.2356,2114.0408
State,Maine,23,65+,All,All,0 to 1,0.3452,1824.5052,1844.9511,0.0524,161.7603
State,Maine,23,65+,All,All,2 to 3,0.3018,5538.9568,5683.4731,0.0698,434.5081
State,Maine,23,65+,All,All,4 to 5,0.2004,10782.4369,11268.9707,0.0965,884.5908
State,Maine,23,65+,All,All,6+,0.1527,27018.888,28922.8118,0.1998,2154.8369
State,Maine,23,65+,Dual Status,Medicare Only,0 to 1,0.3905,1745.3049,1767.3758,0.0453,143.7329
State,Maine,23,65+,Dual Status,Medicare Only,2 to 3,0.3087,5431.2077,5586.9287,0.0671,395.2296
State,Maine,23,65+,Dual Status,Medicare Only,4 to 5,0.1846,10839.5645,11355.4993,0.0931,807.8132
State,Maine,23,65+,Dual Status,Medicare Only,6+,0.1162,26556.8029,28422.498,0.1886,1925.2516
State,Maine,23,65+,Dual Status,Medicare and Medicaid,0 to 1,0.1973,2336.3624,2346.3062,0.0823,278.2677
State,Maine,23,65+,Dual Status,Medicare and Medicaid,2 to 3,0.2791,5928.1592,6032.2025,0.0788,576.3863
State,Maine,23,65+,Dual Status,Medicare and Medicaid,4 to 5,0.2517,10645.5889,11061.6931,0.1045,1068.5101
State,Maine,23,65+,Dual Status,Medicare and Medicaid,6+,0.2719,27663.7062,29620.9762,0.2136,2475.2125
State,Maine,23,<65,All,All,0 to 1,0.4234,2679.2524,2556.8722,0.0865,459.8219
State,Maine,23,<65,All,All,2 to 3,0.3046,6753.0465,6828.8392,0.0952,1013.3671
State,Maine,23,<65,All,All,4 to 5,0.1639,12068.8863,12534.6007,0.1482,1674.7744
State,Maine,23,<65,All,All,6+,0.1081,32383.7152,34382.7313,0.2794,3675.6489
State,Maine,23,<65,Dual Status,Medicare Only,2 to 3,0.2722,6682.7975,6443.1671,0.0912,658.141
State,Maine,23,<65,Dual Status,Medicare Only,4 to 5,0.1367,11768.3079,11784.6608,0.1315,1064.5963
State,Maine,23,<65,Dual Status,Medicare Only,6+,0.0763,31095.1256,32039.9588,0.2226,2355.9511
State,Maine,23,<65,Dual Status,Medicare and Medicaid,0 to 1,0.3926,2923.5903,2931.5851,0.0898,557.1533
State,Maine,23,<65,Dual Status,Medicare and Medicaid,2 to 3,0.3155,6773.5061,6941.1634,0.0964,1116.8241
State,Maine,23,<65,Dual Status,Medicare and Medicaid,4 to 5,0.173,12149.0472,12734.6013,0.152,1837.5021
State,Maine,23,<65,Dual Status,Medicare and Medicaid,6+,0.1189,32662.9924,34890.4826,0.2901,3961.6683
State,Maine,23,All,All,All,0 to 1,0.3625,2045.4335,2028.9628,0.0657,238.8009
State,Maine,23,All,All,All,2 to 3,0.3024,5809.5075,5938.7092,0.0767,563.5024
State,Maine,23,All,All,All,4 to 5,0.1923,11025.0022,11507.6104,0.1077,1033.5832
State,Maine,23,All,All,All,6+,0.1428,27917.6858,29837.5408,0.2156,2409.6266
State,Maine,23,All,Dual Status,Medicare Only,0 to 1,0.4011,1787.2585,1761.0734,0.0494,154.2966
State,Maine,23,All,Dual Status,Medicare Only,2 to 3,0.3056,5526.6798,5652.2432,0.0694,415.2847
State,Maine,23,All,Dual Status,Medicare Only,4 to 5,0.1805,10899.7924,11383.3299,0.0958,824.4653
State,Maine,23,All,Dual Status,Medicare Only,6+,0.1128,26819.8898,28632.2025,0.1908,1950.2192
State,Maine,23,All,Dual Status,Medicare and Medicaid,0 to 1,0.2902,2714.1161,2722.8062,0.0877,457.6701
State,Maine,23,All,Dual Status,Medicare and Medicaid,2 to 3,0.2964,6355.8839,6492.1143,0.0885,849.8345
State,Maine,23,All,Dual Status,Medicare and Medicaid,4 to 5,0.2143,11222.6362,11703.7776,0.125,1363.6595
State,Maine,23,All,Dual Status,Medicare and Medicaid,6+,0.1991,29082.3995,31116.3523,0.2379,2897.0377
State,Maine,23,65+,Sex,Female,0 to 1,0.3341,2079.5679,2101.4283,0.0581,168.7264
State,Maine,23,65+,Sex,Female,2 to 3,0.3178,5641.1307,5770.7358,0.0672,444.3126
State,Maine,23,65+,Sex,Female,4 to 5,0.1992,10742.8267,11178.0022,0.1011,915.4129
State,Maine,23,65+,Sex,Female,6+,0.1489,26502.9698,28306.2263,0.1929,2184.6677
State,Maine,23,<65,Sex,Female,0 to 1,0.3966,3268.1776,3187.3161,0.0507,539.3646
State,Maine,23,<65,Sex,Female,2 to 3,0.3261,7304.4053,7369.2118,0.0822,1097.2981
State,Maine,23,<65,Sex,Female,4 to 5,0.1687,13172.365,13726.1818,0.1524,1839.0152
State,Maine,23,<65,Sex,Female,6+,0.1086,32360.335,34378.6407,0.2768,3835.1556
State,Maine,23,All,Sex,Female,0 to 1,0.346,2339.8224,2339.1911,0.0554,249.8803
State,Maine,23,All,Sex,Female,2 to 3,0.3194,5965.4849,6082.4536,0.071,571.6509
State,Maine,23,All,Sex,Female,4 to 5,0.1934,11147.7862,11602.7371,0.1114,1069.3605
State,Maine,23,All,Sex,Female,6+,0.1412,27363.1979,29198.0372,0.2075,2427.0627
State,Maine,23,65+,Sex,Male,0 to 1,0.3596,1516.9793,1535.7198,0.0444,153.3613
State,Maine,23,65+,Sex,Male,2 to 3,0.281,5388.9594,5555.3663,0.0736,420.1145
